segmento_id,trecho,estacao_m,dist_eixo_p4_m,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1008.0,10.3,792647,20251222,18:20,SEGUNDA-FEIRA,-30.103214980000001,-51.223317999999999,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,1.2,4.7,792498,20251224,11:20,QUARTA-FEIRA,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,689.1,0.0,792451,20251224,14:30,QUARTA-FEIRA,-30.100758610000000,-51.224733000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2328.6,7.0,792525,20251230,00:05,TERCA-FEIRA,-30.112408299999998,-51.215980000000002,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,348.0,7.0,792977,20260102,18:00,SEXTA-FEIRA,-30.097930634420500,-51.224950580384501,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,2,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2895.1,4.7,795208,20260118,10:40,DOMINGO,-30.115499795233401,-51.212469488382403,AV RODRIGUES DA FONSECA,AV VICENTE MONTEGGIA,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,795152,20260120,18:53,TERCA-FEIRA,-30.095172999999999,-51.225712999999999,AV NONOAI,R DR CAMPOS VELHO,BOLETIM,0,0,0,0,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,417.8,5.7,792324,20260131,06:30,SABADO,-30.098519086990201,-51.225235956765502,AV VICENTE MONTEGGIA,,BOLETIM,2,1,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,794142,20260208,17:54,DOMINGO,-30.095172999999999,-51.225712999999999,AV VICENTE MONTEGGIA,AV NONOAI,BOLETIM,0,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1492.3,3.6,798310,20260223,20:10,SEGUNDA-FEIRA,-30.107367912180798,-51.221923456623898,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,796385,20260226,17:12,QUINTA-FEIRA,-30.095172999999999,-51.225712999999999,AV CAVALHADA,R DR CAMPOS VELHO,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,794520,20260226,22:56,QUINTA-FEIRA,-30.095172999999999,-51.225712999999999,AV NONOAI,R DR CAMPOS VELHO,BOLETIM,1,0,0,2,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,0.0,20.4,797932,20260303,18:45,TERCA-FEIRA,-30.094990581894301,-51.225842888960202,AV CAVALHADA,,BOLETIM,0,0,0,0,0,1
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,4.9,30.5,794825,20260305,07:24,QUINTA-FEIRA,-30.095001599160401,-51.225569104724698,AV NONOAI,,BOLETIM,0,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1919.3,7.4,794964,20260306,19:50,SEXTA-FEIRA,-30.110289275292001,-51.219056208158698,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,657.8,28.7,794955,20260306,19:40,SEXTA-FEIRA,-30.100658903749000,-51.225155214364598,AV OTTO NIEMEYER,,BOLETIM,1,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2353.9,8.1,795113,20260308,07:45,DOMINGO,-30.112392370604400,-51.215710428126400,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2267.0,6.0,797571,20260309,14:30,SEGUNDA-FEIRA,-30.112546471735900,-51.216618453823003,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2418.7,6.7,795621,20260310,10:30,TERCA-FEIRA,-30.112409200286699,-51.215036223356698,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,16.4,30.2,795453,20260310,10:24,TERCA-FEIRA,-30.095101200373300,-51.225454432886700,AV NONOAI,,BOLETIM,0,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2267.0,6.0,798148,20260311,17:50,QUARTA-FEIRA,-30.112546471735900,-51.216618453823003,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1799.2,5.9,795656,20260312,10:16,QUINTA-FEIRA,-30.109412969952800,-51.219779811467703,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,0.0,21.3,795336,20260312,21:16,QUINTA-FEIRA,-30.094998397776699,-51.225911237765203,R DR CAMPOS VELHO,,BOLETIM,1,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1799.2,5.9,795333,20260312,10:16,QUINTA-FEIRA,-30.109412969952800,-51.219779811467703,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,1934.0,0.6,796708,20260327,23:45,SEXTA-FEIRA,-30.110429109999998,-51.219022000000002,AV VICENTE MONTEGGIA,ESTR JOAO VEDANA,ATENDIMENTO,1,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,1937.0,6.5,796271,20260328,06:00,SABADO,-30.110417717177999,-51.218954934282600,AV VICENTE MONTEGGIA,,BOLETIM,1,1,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.9,7.0,796085,20260329,03:15,DOMINGO,-30.095175485216501,-51.225711554288900,AV CAVALHADA,,BOLETIM,1,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1799.2,5.9,797507,20260330,09:55,SEGUNDA-FEIRA,-30.109412969952800,-51.219779811467703,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1172.8,4.2,796492,20260405,17:47,DOMINGO,-30.104657206146602,-51.222918047320100,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2723.6,4.9,798832,20260406,13:40,SEGUNDA-FEIRA,-30.113992508245701,-51.212662940694003,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2630.4,10.1,796836,20260406,20:00,SEGUNDA-FEIRA,-30.113203925420400,-51.213053774931900,AV VICENTE MONTEGGIA,ESTR JOAO PASSUELO,BOLETIM,1,1,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,796636,20260408,07:30,QUARTA-FEIRA,-30.095172999999999,-51.225712999999999,R DR CAMPOS VELHO,AV NONOAI,BOLETIM,0,0,0,0,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2835.4,19.8,796739,20260409,22:49,QUINTA-FEIRA,-30.114971413048298,-51.212177961410703,AV RODRIGUES DA FONSECA,,BOLETIM,1,1,0,2,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,6.2,23.7,797836,20260412,06:00,DOMINGO,-30.095054596313101,-51.225606554317402,AV NONOAI,,ATENDIMENTO,1,0,0,1,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1663.1,4.7,798568,20260413,08:20,SEGUNDA-FEIRA,-30.108511839108498,-51.220736856602599,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,50.0,7.3,798839,20260423,13:00,QUINTA-FEIRA,-30.095469810910402,-51.225415917148602,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,799646,20260425,21:25,SABADO,-30.095172999999999,-51.225712999999999,R DR CAMPOS VELHO,AV CAVALHADA,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,11.3,35.1,797560,20260426,18:24,DOMINGO,-30.095474382524500,-51.225982404495802,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4-S04,Estr. Aracaju -> Rua Amapa,1438.7,12.1,799312,20260428,14:45,TERCA-FEIRA,-30.106992999999999,-51.222313000000000,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,126.7,6.7,799264,20260430,19:40,QUINTA-FEIRA,-30.096144086542100,-51.225173862936401,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,1
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,799698,20260502,12:08,SABADO,-30.095172999999999,-51.225712999999999,AV CAVALHADA,R DR CAMPOS VELHO,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2572.2,6.0,798195,20260503,03:12,DOMINGO,-30.112869312760999,-51.213540491846700,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
